"game_ID","home_team","away_team","game_date"
1037883,"Los Angeles Lakers","Houston Rockets",2023-12-02
7045521,"Indiana Pacers","Boston Celtics",2023-12-04
7045522,"Sacramento Kings","New Orleans Pelicans",2023-12-04
7045523,"Milwaukee Bucks","New York Knicks",2023-12-05
7045524,"Los Angeles Lakers","Phoenix Suns",2023-12-05
7049313,"Cleveland Cavaliers","Orlando Magic",2023-12-06
7049314,"Detroit Pistons","Memphis Grizzlies",2023-12-06
7049315,"Toronto Raptors","Miami Heat",2023-12-06
7049316,"Washington Wizards","Philadelphia 76ers",2023-12-06
7049317,"Atlanta Hawks","Brooklyn Nets",2023-12-06
7049318,"Minnesota Timberwolves","San Antonio Spurs",2023-12-06
7049319,"Chicago Bulls","Charlotte Hornets",2023-12-06
7049320,"Houston Rockets","Oklahoma City Thunder",2023-12-06
7049321,"Dallas Mavericks","Utah Jazz",2023-12-06
7049322,"Golden State Warriors","Portland Trail Blazers",2023-12-06
7049323,"LA Clippers","Denver Nuggets",2023-12-06
7996352,"Los Angeles Lakers","New Orleans Pelicans",2023-12-07
7981414,"Milwaukee Bucks","Indiana Pacers",2023-12-07
7050282,"Charlotte Hornets","Toronto Raptors",2023-12-08
7050290,"Denver Nuggets","Houston Rockets",2023-12-08
7050291,"Utah Jazz","LA Clippers",2023-12-08
7050292,"Portland Trail Blazers","Dallas Mavericks",2023-12-08
7050283,"Orlando Magic","Detroit Pistons",2023-12-08
7050284,"Philadelphia 76ers","Atlanta Hawks",2023-12-08
7050285,"Brooklyn Nets","Washington Wizards",2023-12-08
7050286,"Miami Heat","Cleveland Cavaliers",2023-12-08
7050287,"Memphis Grizzlies","Minnesota Timberwolves",2023-12-08
7050288,"Oklahoma City Thunder","Golden State Warriors",2023-12-08
7050289,"San Antonio Spurs","Chicago Bulls",2023-12-08
7996365,"Phoenix Suns","Sacramento Kings",2023-12-08
7981426,"Boston Celtics","New York Knicks",2023-12-08
8258317,"Los Angeles Lakers","Indiana Pacers",2023-12-09
1037893,"New Orleans Pelicans","Minnesota Timberwolves",2023-12-11
1037894,"Oklahoma City Thunder","Utah Jazz",2023-12-11
1037895,"Sacramento Kings","Brooklyn Nets",2023-12-11
1037896,"LA Clippers","Portland Trail Blazers",2023-12-11
1037884,"Charlotte Hornets","Miami Heat",2023-12-11
1037885,"Detroit Pistons","Indiana Pacers",2023-12-11
1037886,"Orlando Magic","Cleveland Cavaliers",2023-12-11
1037887,"Philadelphia 76ers","Washington Wizards",2023-12-11
1037888,"Atlanta Hawks","Denver Nuggets",2023-12-11
1037890,"Houston Rockets","San Antonio Spurs",2023-12-11
1037891,"Memphis Grizzlies","Dallas Mavericks",2023-12-11
1037889,"New York Knicks","Toronto Raptors",2023-12-11
1037892,"Milwaukee Bucks","Chicago Bulls",2023-12-11
1037899,"Chicago Bulls","Denver Nuggets",2023-12-12
1037900,"Phoenix Suns","Golden State Warriors",2023-12-12
1037901,"LA Clippers","Sacramento Kings",2023-12-12
1037898,"Dallas Mavericks","Los Angeles Lakers",2023-12-12
1037897,"Boston Celtics","Cleveland Cavaliers",2023-12-12
1037902,"Detroit Pistons","Philadelphia 76ers",2023-12-13
1037903,"Washington Wizards","New Orleans Pelicans",2023-12-13
1037905,"Toronto Raptors","Atlanta Hawks",2023-12-13
1037906,"Houston Rockets","Memphis Grizzlies",2023-12-13
1037907,"Milwaukee Bucks","Indiana Pacers",2023-12-13
1037908,"San Antonio Spurs","Los Angeles Lakers",2023-12-13
1037909,"Phoenix Suns","Brooklyn Nets",2023-12-13
1037910,"Utah Jazz","New York Knicks",2023-12-13
1037904,"Miami Heat","Charlotte Hornets",2023-12-13
1037911,"Boston Celtics","Cleveland Cavaliers",2023-12-14
1037912,"Miami Heat","Chicago Bulls",2023-12-14
1037913,"Dallas Mavericks","Minnesota Timberwolves",2023-12-14
1037914,"Denver Nuggets","Brooklyn Nets",2023-12-14
1037915,"Portland Trail Blazers","Utah Jazz",2023-12-14
1037916,"Sacramento Kings","Oklahoma City Thunder",2023-12-14
1037917,"LA Clippers","Golden State Warriors",2023-12-14
1037918,"Charlotte Hornets","New Orleans Pelicans",2023-12-15
1037919,"Philadelphia 76ers","Detroit Pistons",2023-12-15
1037920,"Washington Wizards","Indiana Pacers",2023-12-15
1037921,"Boston Celtics","Orlando Magic",2023-12-15
1037922,"Toronto Raptors","Atlanta Hawks",2023-12-15
1037923,"San Antonio Spurs","Los Angeles Lakers",2023-12-15
1037924,"Memphis Grizzlies","Houston Rockets",2023-12-15
1037925,"Phoenix Suns","New York Knicks",2023-12-15
1037926,"Milwaukee Bucks","Detroit Pistons",2023-12-16
1037927,"Charlotte Hornets","Philadelphia 76ers",2023-12-16
1037928,"Cleveland Cavaliers","Atlanta Hawks",2023-12-16
1037929,"Miami Heat","Chicago Bulls",2023-12-16
1037930,"Minnesota Timberwolves","Indiana Pacers",2023-12-16
1037932,"Denver Nuggets","Oklahoma City Thunder",2023-12-16
1037933,"Portland Trail Blazers","Dallas Mavericks",2023-12-16
1037934,"Sacramento Kings","Utah Jazz",2023-12-16
1037935,"LA Clippers","New York Knicks",2023-12-16
1037931,"Golden State Warriors","Brooklyn Nets",2023-12-16
1037939,"Phoenix Suns","Washington Wizards",2023-12-17
1037940,"Portland Trail Blazers","Golden State Warriors",2023-12-17
1037936,"Boston Celtics","Orlando Magic",2023-12-17
1037937,"San Antonio Spurs","New Orleans Pelicans",2023-12-17
1037938,"Milwaukee Bucks","Houston Rockets",2023-12-17
