"game_ID","away_team","home_team","game_times"
"7a74c033d7967eb32892f0a7634c5e7f","Miami Heat","Chicago Bulls","2023-11-18"
"cf41474648008c37e1861b6ae9f2e70a","Dallas Mavericks","Milwaukee Bucks","2023-11-18"
"59f288da3aba9be55f26e86ce22e3232","Memphis Grizzlies","San Antonio Spurs","2023-11-18"
"4254de4fa31b743575a85280e0f52ce2","Oklahoma City Thunder","Golden State Warriors","2023-11-18"
"f4209e4fdc5887d9f9e92099be1c4028","Philadelphia 76ers","Brooklyn Nets","2023-11-19"
"968ae66aa313e19cd8358ae1c1cbce6a","Detroit Pistons","Toronto Raptors","2023-11-19"
"5a2c0b2b27e9643285616fe2672c21dc","Orlando Magic","Indiana Pacers","2023-11-19"
"f3a00e3498adee455e993ecfdaf5a175","Denver Nuggets","Cleveland Cavaliers","2023-11-19"
"06566b81f8a9afb95de01ccc0d538f66","Sacramento Kings","Dallas Mavericks","2023-11-19"
"283d81de1e1fe9e92bfb0b5d36a7b634","Boston Celtics","Memphis Grizzlies","2023-11-19"
"73aa9acfb25822c5dc1240c87e02a416","Phoenix Suns","Utah Jazz","2023-11-19"
"06ed2d175e89740c47ef19d9b6fdd673","Oklahoma City Thunder","Portland Trail Blazers","2023-11-19"
"5929afc75b30a639bb8716be2ee74d8e","Houston Rockets","Los Angeles Lakers","2023-11-19"
"d7542b1e071f8e6eaf5b8471ff355514","Boston Celtics","Charlotte Hornets","2023-11-20"
"32b76832c309e3eeaae30ad64fa2a125","Denver Nuggets","Detroit Pistons","2023-11-20"
"d1f4cb522acf8860b9acd92266187cfa","Milwaukee Bucks","Washington Wizards","2023-11-20"
"7cd563db5190281d7d17b0c56ef1238c","Miami Heat","Chicago Bulls","2023-11-20"
"ab4fe6c0d53fc77a4be24b175c37ce8c","New York Knicks","Minnesota Timberwolves","2023-11-20"
"804a769e0e1c232d4f6a050b24d00674","Sacramento Kings","New Orleans Pelicans","2023-11-20"
"56a86c4788e5b737136b7ceb370fec72","LA Clippers","San Antonio Spurs","2023-11-20"
"0efccf322cfdd2daa3c9c7132655121d","Houston Rockets","Golden State Warriors","2023-11-20"
"59cf6e60d1452ccc46a0ace106125246","Toronto Raptors","Orlando Magic","2023-11-21"
"8316847af2560b8490fe52e45e2e8de0","Indiana Pacers","Atlanta Hawks","2023-11-21"
"5bba9aa910fdc621415dc6e644b2b856","Cleveland Cavaliers","Philadelphia 76ers","2023-11-21"
"16e7b17ba31bc4882457916bdc2c1450","Portland Trail Blazers","Phoenix Suns","2023-11-21"
"6a4735f98de26d11084904554fcdafd4","Utah Jazz","Los Angeles Lakers","2023-11-21"
"bd8e4318069e59702b62e2b386b7c4eb","Washington Wizards","Charlotte Hornets","2023-11-22"
"79f748616e8b1417fb0aef13e38e1926","Denver Nuggets","Orlando Magic","2023-11-22"
"dae1ff77cfcc75e7f0f63acc419c5a2e","Brooklyn Nets","Atlanta Hawks","2023-11-22"
"d89cd0406b7dfc9e54a4f123a3a7d385","Milwaukee Bucks","Boston Celtics","2023-11-22"
"bab6868bd0e7181bc424bdc344a269fa","Miami Heat","Cleveland Cavaliers","2023-11-22"
"f9cf81d1aa20865d70aea79c87c8afbb","Toronto Raptors","Indiana Pacers","2023-11-22"
"ad140d293dae2cc36a903a6a111bdc1f","Memphis Grizzlies","Houston Rockets","2023-11-22"
"438ca111adb158e0b4dfc8dc2a867d20","Philadelphia 76ers","Minnesota Timberwolves","2023-11-22"
"684c45cb318472a063cbd648b211b57c","Sacramento Kings","New Orleans Pelicans","2023-11-22"
"a4bd0940879c89f48383b6610e250c63","Chicago Bulls","Oklahoma City Thunder","2023-11-22"
